gene_symbol	logFC_TVsS	adj.P.Val_TVsS	dir	muscle	airway	tissue_marker
SLC25A4	-5.98953659726467	3.2325868180086e-4	down	TRUE	FALSE	TRUE
MYLPF	-5.290867892	9.3170426784096e-4	down	TRUE	FALSE	TRUE
HSPB6	-4.923078668	3.3019331536891e-4	down	FALSE	FALSE	FALSE
MYL2	-4.90702374199999	0.00176564890459457	down	TRUE	FALSE	TRUE
CASQ1	-4.84000279900001	0.00361947890048227	down	TRUE	FALSE	TRUE
SYPL2	-4.72369531988553	0.00220667427736848	down	TRUE	FALSE	TRUE
FHL1	-4.700963812	0.00394125741195293	down	TRUE	FALSE	TRUE
MYH2	-4.6845230864	0.00350202914268021	down	TRUE	FALSE	TRUE
MYL3	-4.656825903	0.00255695861845173	down	TRUE	FALSE	TRUE
MYH7	-4.5725399479	0.00396712190786483	down	TRUE	FALSE	TRUE
BPIFB1	-4.41543257021684	0.00255695861845173	down	FALSE	TRUE	TRUE
CRYAB	-4.3417081705763	0.00173706416519398	down	FALSE	FALSE	FALSE
LDB3	-4.2683009947	0.0102581944120163	down	TRUE	FALSE	TRUE
BPIFA1	-4.16673174557707	0.0254515901787142	down	FALSE	TRUE	TRUE
PYGM	-4.01271976317115	0.00218711530771388	down	TRUE	FALSE	TRUE
MYL1	-4.000286426	0.00412184136573749	down	TRUE	FALSE	TRUE
GPD1	-3.99723002138425	0.00176564890459457	down	FALSE	FALSE	FALSE
TCAP	-3.93191668590246	0.0191749782925373	down	TRUE	FALSE	TRUE
PADI2	-3.85901967816264	0.00275109219973713	down	FALSE	FALSE	FALSE
ATP2A1	-3.75645729524719	0.00361947890048227	down	TRUE	FALSE	TRUE
CKMT2	-3.7294954775	0.0141870780923442	down	TRUE	FALSE	TRUE
S100A1	-3.69623282249999	0.0141870780923442	down	FALSE	FALSE	FALSE
TNNI1	-3.664266435	0.019485451638104	down	TRUE	FALSE	TRUE
CYC1	-3.64675515597895	2.718079691965e-4	down	FALSE	FALSE	FALSE
AGR2	-3.63579281040001	0.00439578095578512	down	FALSE	FALSE	FALSE
AK1	-3.61658550540001	0.00582139996934979	down	FALSE	FALSE	FALSE
ADH1B	-3.61530011517555	0.00818351026088852	down	FALSE	FALSE	FALSE
MYH4	-3.55251253568309	0.0314606733713896	down	TRUE	FALSE	TRUE
EEF1A2	-3.5164523104795	0.00714759773383424	down	FALSE	FALSE	FALSE
ATP5F1B	-3.509641727	0.00323296618596699	down	FALSE	FALSE	FALSE
MB	-3.488155362	0.0168567829963433	down	TRUE	FALSE	TRUE
RTN2	-3.46209425704757	0.00647020429583781	down	FALSE	FALSE	FALSE
MYBPC2	-3.45341359331194	0.0196880134032557	down	TRUE	FALSE	TRUE
GYG1	-3.4310246105	0.0128302659645712	down	FALSE	FALSE	FALSE
SLC4A1	-3.41375400966666	0.00149335072179166	down	FALSE	FALSE	FALSE
TNNC1	-3.40884155100001	0.0169007339753302	down	TRUE	FALSE	TRUE
TNNT1	-3.38105323334352	0.0405936253229918	down	TRUE	FALSE	TRUE
SRL	-3.36787918283631	0.010371232127871	down	FALSE	FALSE	FALSE
CD36	-3.35242683750001	0.00176564890459457	down	FALSE	FALSE	FALSE
AOC3	-3.33279178082881	9.3170426784096e-4	down	FALSE	FALSE	FALSE
TNNC2	-3.329083741	0.0215531238406466	down	TRUE	FALSE	TRUE
COQ9	-3.31855036234116	0.00154956216282021	down	FALSE	FALSE	FALSE
UQCR10	-3.28890783299621	0.00255695861845173	down	FALSE	FALSE	FALSE
UQCRC1	-3.27550445830001	0.00176564890459457	down	FALSE	FALSE	FALSE
SDHC	-3.25560063286979	0.00354617525691891	down	FALSE	FALSE	FALSE
ATP5F1C	-3.25140256263827	6.3934013094622e-4	down	FALSE	FALSE	FALSE
SLC25A12	-3.18159854075932	0.00218711530771388	down	FALSE	FALSE	FALSE
PDHA1	-3.17109203308861	0.00154956216282021	down	FALSE	FALSE	FALSE
ACTN2	-3.160718151	0.0130857460827415	down	TRUE	FALSE	TRUE
MPZ	-3.15074026120857	0.00253681057320126	down	FALSE	FALSE	FALSE
ATP5PD	-3.14882426317137	0.00161077860131412	down	FALSE	FALSE	FALSE
NDUFS3	-3.10958605415907	2.718079691965e-4	down	FALSE	FALSE	FALSE
MYBPC1	-3.10376605257919	0.0189009186258317	down	TRUE	FALSE	TRUE
UQCRC2	-3.08692497315906	0.00407288820598671	down	FALSE	FALSE	FALSE
NDUFB4	-3.07816178656624	0.00176564890459457	down	FALSE	FALSE	FALSE
LUM	-3.077503244	0.00439578095578512	down	FALSE	FALSE	FALSE
ZG16B	-3.0741632982	0.00384014756697492	down	FALSE	TRUE	TRUE
NDUFB1	-3.06682075317137	0.00486127962096734	down	FALSE	FALSE	FALSE
COX4I1	-3.056154959	0.00275109219973713	down	FALSE	FALSE	FALSE
MYOM1	-3.05554677894755	0.00361947890048227	down	TRUE	FALSE	TRUE
NDUFS2	-3.0506483676205	3.3019331536891e-4	down	FALSE	FALSE	FALSE
VPS13C	-3.030533864918	0.00182884399561301	down	FALSE	FALSE	FALSE
F5	-3.02643387579297	0.00683672977585757	down	FALSE	FALSE	FALSE
TRIM72	-3.01786917888	0.00341158145192781	down	FALSE	FALSE	FALSE
OGN	-3.01096063916976	6.3934013094622e-4	down	FALSE	FALSE	FALSE
CS	-3.0058683177	0.00587933055202962	down	FALSE	FALSE	FALSE
SLC25A11	-3.0003206177806	0.00644476886385515	down	FALSE	FALSE	FALSE
TNNI2	-2.997539867	0.0254545877060812	down	TRUE	FALSE	TRUE
ACADM	-2.995552817	0.00231806857811632	down	FALSE	FALSE	FALSE
PFKM	-2.97999239576278	0.00439578095578512	down	FALSE	FALSE	FALSE
GPT	-2.95123201127059	0.0279884206451891	down	FALSE	FALSE	FALSE
MUC5B	-2.93483066900001	0.0451631403182675	down	FALSE	TRUE	TRUE
KRT8	-2.9339775653	0.0233028243763969	down	FALSE	FALSE	FALSE
CASQ2	-2.92622879747746	0.0199792970069525	down	TRUE	FALSE	TRUE
ENO3	-2.92459454	0.0423148538420216	down	TRUE	FALSE	TRUE
DCN	-2.9198256183	0.00361947890048227	down	FALSE	FALSE	FALSE
ATP5PO	-2.88751680056821	0.0113469074473619	down	FALSE	FALSE	FALSE
NDUFA2	-2.87167391254235	0.0152051518647413	down	FALSE	FALSE	FALSE
HIBADH	-2.85354348766843	1.3788687388968e-4	down	FALSE	FALSE	FALSE
ATP5F1A	-2.849711986	0.00861231597076341	down	FALSE	FALSE	FALSE
VDAC3	-2.844682035	0.00275109219973713	down	FALSE	FALSE	FALSE
CA3	-2.83900366700001	0.0478268781080862	down	FALSE	FALSE	FALSE
NIPSNAP2	-2.83849157496913	0.00275109219973713	down	FALSE	FALSE	FALSE
NIPSNAP3B	-2.83807666940001	0.0319553989752284	down	FALSE	FALSE	FALSE
PRELP	-2.8362275567	0.00380722723424157	down	FALSE	FALSE	FALSE
SMYD1	-2.8316123325896	0.0243381483989706	down	FALSE	FALSE	FALSE
FHL3	-2.81141077547459	0.0272898980740217	down	FALSE	FALSE	FALSE
ATP5MD	-2.80814598459607	0.00495609724955204	down	FALSE	FALSE	FALSE
SYNC	-2.78899596163804	0.0309716748214805	down	FALSE	FALSE	FALSE
DPT	-2.78407356424164	0.00146209208176957	down	FALSE	FALSE	FALSE
FABP3	-2.770077024	0.0494125488262054	down	FALSE	FALSE	FALSE
TTN	-2.762241042	0.0165394275601404	down	TRUE	FALSE	TRUE
ADSS1	-2.75614398697035	0.0103292113270185	down	FALSE	FALSE	FALSE
GPD1L	-2.75282649543854	0.00552571003090942	down	FALSE	FALSE	FALSE
KLHL41	-2.74805374762035	0.0470959379157081	down	TRUE	FALSE	TRUE
CEP350	-2.74652900151733	0.0292249737703991	down	FALSE	FALSE	FALSE
CKM	-2.73876775099999	0.0375191446009704	down	TRUE	FALSE	TRUE
ACADVL	-2.715234753	0.00205712261065527	down	FALSE	FALSE	FALSE
FUNDC2	-2.71341846906881	0.00198203813092695	down	FALSE	FALSE	FALSE
PRDX6	-2.705823815	0.00361947890048227	down	FALSE	FALSE	FALSE
ATP5F1D	-2.692782776	2.718079691965e-4	down	FALSE	FALSE	FALSE
ITGA7	-2.67505288650216	0.00149335072179166	down	FALSE	FALSE	FALSE
ATP5ME	-2.62913967844872	0.00171133142451688	down	FALSE	FALSE	FALSE
COX5B	-2.628067437	0.0091415591382295	down	FALSE	FALSE	FALSE
NDUFA5	-2.62693453911158	0.00149335072179166	down	FALSE	FALSE	FALSE
NDUFB9	-2.62057626237445	0.00350202914268021	down	FALSE	FALSE	FALSE
NDUFB11	-2.61295424989547	0.0123788465702087	down	FALSE	FALSE	FALSE
NDUFS7	-2.60668466641062	0.00277137523530092	down	FALSE	FALSE	FALSE
ATP1B1	-2.59932472124125	0.00197450236982643	down	FALSE	FALSE	FALSE
VDAC2	-2.598317889	0.00380722723424157	down	FALSE	FALSE	FALSE
CAV1	-2.59215881106375	0.00407288820598671	down	FALSE	FALSE	FALSE
KRT19	-2.589043035	0.0200116508873126	down	FALSE	FALSE	FALSE
CD34	-2.57299184004212	0.00380722723424157	down	FALSE	FALSE	FALSE
NDUFA4	-2.56208963614048	0.0141870780923442	down	FALSE	FALSE	FALSE
ECI2	-2.55076346681719	0.00414679875052381	down	FALSE	FALSE	FALSE
NDUFA13	-2.54108779439514	0.012873791988857	down	FALSE	FALSE	FALSE
MYOM3	-2.53597034000875	0.0102308360782694	down	TRUE	FALSE	TRUE
AGL	-2.53578185631671	0.00380722723424157	down	FALSE	FALSE	FALSE
DGLUCY	-2.53448211738166	0.0180147511658302	down	FALSE	FALSE	FALSE
PTGES2	-2.5310163159877	0.00350202914268021	down	FALSE	FALSE	FALSE
SORBS2	-2.5221770433	0.00361947890048227	down	FALSE	FALSE	FALSE
CRAT	-2.5088966731558	0.00287535129922522	down	FALSE	FALSE	FALSE
NDUFS1	-2.5009415095	0.00277137523530092	down	FALSE	FALSE	FALSE
CFL2	-2.4887227701712	0.0199088748089933	down	FALSE	FALSE	FALSE
SUCLA2	-2.47502104280463	0.00595247218808577	down	FALSE	FALSE	FALSE
ALDH2	-2.474807654	0.00472992087530572	down	FALSE	FALSE	FALSE
DCXR	-2.47370574757557	0.00174481230271087	down	FALSE	FALSE	FALSE
NDUFB7	-2.46945722172642	0.0113338038331462	down	FALSE	FALSE	FALSE
VDAC1	-2.460774844	0.00354617525691891	down	FALSE	FALSE	FALSE
SYNM	-2.44854528346694	0.0200116508873126	down	FALSE	FALSE	FALSE
MYOM2	-2.4407042136	0.00277137523530092	down	TRUE	FALSE	TRUE
SDHB	-2.437737217	0.00154956216282021	down	FALSE	FALSE	FALSE
AGT	-2.42087736865671	0.00755279530986478	down	FALSE	FALSE	FALSE
SLC25A3	-2.41866841101012	0.0091415591382295	down	FALSE	FALSE	FALSE
MGST1	-2.39157290069134	0.0130857460827415	down	FALSE	FALSE	FALSE
CA2	-2.3756635676	0.0367664730968215	down	FALSE	FALSE	FALSE
HRC	-2.37116219066193	0.0469500550102045	down	FALSE	FALSE	FALSE
PDHB	-2.36598644011	0.0091415591382295	down	FALSE	FALSE	FALSE
PLSCR4	-2.35082414614579	0.0079893901439545	down	FALSE	FALSE	FALSE
KRT18	-2.33362163581932	0.0240733757129385	down	FALSE	FALSE	FALSE
ALDH5A1	-2.31572907008093	0.0141870780923442	down	FALSE	FALSE	FALSE
CAVIN2	-2.31277394608279	0.00361947890048227	down	FALSE	FALSE	FALSE
NDUFA8	-2.311499956	0.00794574919149869	down	FALSE	FALSE	FALSE
ACAA2	-2.31049122577654	0.0138202235296213	down	FALSE	FALSE	FALSE
LANCL1	-2.30964577607774	0.0037272713233343	down	FALSE	FALSE	FALSE
MDH1	-2.304927633	0.0297857786767448	down	FALSE	FALSE	FALSE
CACNA2D1	-2.29653976700284	0.00482338937599961	down	FALSE	FALSE	FALSE
COX5A	-2.29515978	0.0123788465702087	down	FALSE	FALSE	FALSE
SACM1L	-2.28693566739389	0.0302663974699981	down	FALSE	FALSE	FALSE
PREB	-2.26194585116605	0.0388657002744916	down	FALSE	FALSE	FALSE
L1CAM	-2.25518570787935	0.022845985153235	down	FALSE	FALSE	FALSE
ATP5MG	-2.23126385221482	0.021910128216165	down	FALSE	FALSE	FALSE
OR5I1	-2.22694967405776	0.0435401567119762	down	FALSE	FALSE	FALSE
CRIP1	-2.22297690437297	0.0225587139908877	down	FALSE	FALSE	FALSE
ALDH6A1	-2.2142615095285	0.00425886229783297	down	FALSE	FALSE	FALSE
TNXB	-2.202847096	0.00149335072179166	down	FALSE	FALSE	FALSE
TPM2	-2.177806266	0.0283792757262112	down	TRUE	FALSE	TRUE
DUSP3	-2.1678018103156	0.0233836377814955	down	FALSE	FALSE	FALSE
CLEC3B	-2.16556439799063	0.00912030021134031	down	FALSE	FALSE	FALSE
ATP2A2	-2.16046956673447	0.0362654958121483	down	TRUE	FALSE	TRUE
APOA4	-2.156483682	0.00552571003090942	down	FALSE	FALSE	FALSE
H1-0	-2.15429272830141	0.0141870780923442	down	FALSE	FALSE	FALSE
ATP2A3	-2.1535444157714	0.00598740428694884	down	FALSE	FALSE	FALSE
ETFA	-2.15338287142771	0.0130857460827415	down	FALSE	FALSE	FALSE
MGST3	-2.13407132557326	0.0201817946956361	down	FALSE	FALSE	FALSE
SUCLG1	-2.12871611552252	0.0091415591382295	down	FALSE	FALSE	FALSE
NNT	-2.12707871069731	0.00756131606382544	down	FALSE	FALSE	FALSE
EPB42	-2.12668162000272	0.00552571003090942	down	FALSE	FALSE	FALSE
MTA2	-2.12465535007351	0.0115490331641792	down	FALSE	FALSE	FALSE
PON3	-2.11683162182121	0.0091415591382295	down	FALSE	FALSE	FALSE
GALE	-2.11557459848332	0.0288543991801678	down	FALSE	FALSE	FALSE
APOO	-2.1085901118338	0.00846345445676763	down	FALSE	FALSE	FALSE
NDUFV2	-2.100449433	0.0109379513030614	down	FALSE	FALSE	FALSE
PRH1	-2.08883982267911	0.018628317515647	down	FALSE	TRUE	TRUE
ARL6IP5	-2.07496231610745	0.0214508948391286	down	FALSE	FALSE	FALSE
BIN1	-2.06281978200001	0.0409908505711296	down	FALSE	FALSE	FALSE
APOA2	-2.0458499082	0.00852480765258705	down	FALSE	FALSE	FALSE
ATP5MF	-2.04526652466286	0.0199088748089933	down	FALSE	FALSE	FALSE
C8orf82	-2.04039057473274	0.0239035177022013	down	FALSE	FALSE	FALSE
CYB5R1	-2.03517567160004	0.0152051518647413	down	FALSE	FALSE	FALSE
COX6C	-2.034371357	0.010802583093796	down	FALSE	FALSE	FALSE
SPTB	-2.026198557	0.00680029407579084	down	FALSE	FALSE	FALSE
PRDX2	-2.02221137499999	0.00395836344210129	down	FALSE	FALSE	FALSE
PALM	-2.02032586564538	0.00598740428694884	down	FALSE	FALSE	FALSE
APOC3	-2.0163649378	0.0141870780923442	down	FALSE	FALSE	FALSE
GSTM2	-2.01556140550638	0.0155817253484506	down	FALSE	FALSE	FALSE
EPHX1	-1.99952812933722	0.0254167483918695	down	FALSE	FALSE	FALSE
ALDH9A1	-1.9979919255	0.0173478929481739	down	FALSE	FALSE	FALSE
BGN	-1.97781628733664	0.015213397253819	down	FALSE	FALSE	FALSE
KRTCAP2	-1.97531655951195	0.0344003490239242	down	FALSE	FALSE	FALSE
UGP2	-1.96730767064038	0.0279884206451891	down	FALSE	FALSE	FALSE
ASS1	-1.96366098976607	0.0117332522505568	down	FALSE	FALSE	FALSE
PRDX5	-1.956121553	0.0176815028034733	down	FALSE	FALSE	FALSE
TMOD1	-1.95169470420127	0.00553244061079483	down	TRUE	FALSE	TRUE
ETFB	-1.95162297286721	0.0200116508873126	down	FALSE	FALSE	FALSE
UQCRB	-1.95140865123281	0.0180147511658302	down	FALSE	FALSE	FALSE
BDH1	-1.94964614513878	0.012873791988857	down	FALSE	FALSE	FALSE
IDH3A	-1.94806629388176	0.0145220306868579	down	FALSE	FALSE	FALSE
VTN	-1.935123964	0.00552571003090942	down	FALSE	FALSE	FALSE
FAM162A	-1.933286615	0.0148321697230168	down	FALSE	FALSE	FALSE
NDUFB10	-1.9314741702849	0.0150589599618247	down	FALSE	FALSE	FALSE
CLU	-1.929664083	0.00693660768481212	down	FALSE	FALSE	FALSE
LYVE1	-1.9011723973	0.0184043927921441	down	FALSE	FALSE	FALSE
MPP1	-1.89796032017412	0.0371187246856423	down	FALSE	FALSE	FALSE
ABI3BP	-1.8957139897	0.00519113756373901	down	FALSE	FALSE	FALSE
ACOT13	-1.8862234831806	0.00730637796229225	down	FALSE	FALSE	FALSE
A2M	-1.88592666799999	0.0423148538420216	down	FALSE	FALSE	FALSE
GOT2	-1.88407588999999	0.0148152775077591	down	FALSE	FALSE	FALSE
MAOA	-1.87885192474406	0.0254545877060812	down	FALSE	FALSE	FALSE
SOD3	-1.870069276	0.00617353660228827	down	FALSE	FALSE	FALSE
ATP5PB	-1.86987860031981	0.0296390125447877	down	FALSE	FALSE	FALSE
GSTM3	-1.8628270962036	0.0177472716279855	down	FALSE	FALSE	FALSE
HSD17B8	-1.846711265	0.00340431887291205	down	FALSE	FALSE	FALSE
NDUFS6	-1.84586070140444	0.0318476734218236	down	FALSE	FALSE	FALSE
HADHB	-1.84333903	0.0287678149317549	down	FALSE	FALSE	FALSE
NDUFV1	-1.828938663	0.0403167781675145	down	FALSE	FALSE	FALSE
BLVRB	-1.825313696	0.011728947963984	down	FALSE	FALSE	FALSE
QDPR	-1.80324243523695	0.0061231341251422	down	FALSE	FALSE	FALSE
CDH13	-1.8009636452	0.0473466286816638	down	FALSE	FALSE	FALSE
GATM	-1.79917962954024	0.0357303922146074	down	FALSE	FALSE	FALSE
PCYOX1	-1.796142371	0.0136666848060248	down	FALSE	FALSE	FALSE
BCKDHB	-1.79102101535359	0.00871916956913681	down	FALSE	FALSE	FALSE
VWF	-1.7877711578161	0.00647020429583781	down	FALSE	FALSE	FALSE
SERPINF1	-1.78488764893407	0.0123775525448036	down	FALSE	FALSE	FALSE
TPM1	-1.781292766	0.0281061635059439	down	TRUE	FALSE	TRUE
LMCD1	-1.76130346387151	0.02086409187011	down	FALSE	FALSE	FALSE
LPP	-1.75443008745423	0.0113159099021117	down	FALSE	FALSE	FALSE
ANXA6	-1.7534521534	0.0378159190635438	down	FALSE	FALSE	FALSE
GNA11	-1.74891454455808	0.0141870780923442	down	FALSE	FALSE	FALSE
NHLRC2	-1.74831367599315	0.01729901146086	down	FALSE	FALSE	FALSE
ABHD14B	-1.74554113932776	0.0245442845803256	down	FALSE	FALSE	FALSE
SEC62	-1.74154316529392	0.0446646178504938	down	FALSE	FALSE	FALSE
TMEM109	-1.73979135193976	0.0205569707110199	down	FALSE	FALSE	FALSE
SUCLG2	-1.7395961558386701	0.00617353660228827	down	FALSE	FALSE	FALSE
FUCA1	-1.73894174823791	0.00507328475714949	down	FALSE	FALSE	FALSE
ESD	-1.735526065	0.0177243594625788	down	FALSE	FALSE	FALSE
OGDH	-1.7339189689	0.0272506533392061	down	FALSE	FALSE	FALSE
PHB2	-1.7173262502572	0.0281061635059439	down	FALSE	FALSE	FALSE
CAVIN1	-1.71651586	0.0141870780923442	down	FALSE	FALSE	FALSE
KLHL40	-1.71117367437785	0.0364077455842566	down	TRUE	FALSE	TRUE
PRDX3	-1.702932077	0.0138202235296213	down	FALSE	FALSE	FALSE
ACSL1	-1.69920779858102	0.0233028243763969	down	FALSE	FALSE	FALSE
UQCRH	-1.69669295499999	0.0258534381637592	down	FALSE	FALSE	FALSE
TAGLN	-1.696507172	0.0350139918568391	down	FALSE	FALSE	FALSE
OLFML1	-1.68202757302379	0.012873791988857	down	FALSE	FALSE	FALSE
SYPL1	-1.6740367968448	0.019485451638104	down	FALSE	FALSE	FALSE
ALDH4A1	-1.67156763902514	0.0407651554934819	down	FALSE	FALSE	FALSE
UCHL1	-1.66242665290148	0.011728947963984	down	FALSE	FALSE	FALSE
CFB	-1.661568415	0.0322985319879488	down	FALSE	FALSE	FALSE
LRRC57	-1.65497932472428	0.0223675002981315	down	FALSE	FALSE	FALSE
OLA1	-1.65137595726091	0.0152051518647413	down	FALSE	FALSE	FALSE
TPT1	-1.6483221979	0.0302734105997488	down	FALSE	FALSE	FALSE
SPTA1	-1.6360614013	0.0205687900431048	down	FALSE	FALSE	FALSE
AK3	-1.63435628809256	0.0200281386824175	down	FALSE	FALSE	FALSE
MRPL17	-1.63274680246075	0.0288510363450186	down	FALSE	FALSE	FALSE
HINT1	-1.628608152	0.0152051518647413	down	FALSE	FALSE	FALSE
HSPD1	-1.611951448	0.0291191768164926	down	FALSE	FALSE	FALSE
ITIH2	-1.60859438	0.0204317849333662	down	FALSE	FALSE	FALSE
NDUFA9	-1.602377178467	0.0423148538420216	down	FALSE	FALSE	FALSE
ALDH1A1	-1.60129581800001	0.0245187698171813	down	FALSE	FALSE	FALSE
LGALS1	-1.596538821	0.0350769411621735	down	FALSE	FALSE	FALSE
LONP1	-1.58395055708855	0.0121568542640628	down	FALSE	FALSE	FALSE
CMPK1	-1.58388750677548	0.019485451638104	down	FALSE	FALSE	FALSE
MRPL38	-1.57600751066667	0.00879448157341244	down	FALSE	FALSE	FALSE
UBE2N	-1.5662787129	0.0160902788693802	down	FALSE	FALSE	FALSE
SCCPDH	-1.56061467039817	0.0425610790394585	down	FALSE	FALSE	FALSE
GALNT6	-1.55173346167378	0.0439297485024624	down	FALSE	FALSE	FALSE
CFI	-1.549635184	0.00486420434645082	down	FALSE	FALSE	FALSE
DLAT	-1.538337584	0.0254515901787142	down	FALSE	FALSE	FALSE
IDH3B	-1.53292105915868	0.0250063711473122	down	FALSE	FALSE	FALSE
NDUFA10	-1.52563973636296	0.0320005227551684	down	FALSE	FALSE	FALSE
CBR4	-1.5221648725384	0.0141870780923442	down	FALSE	FALSE	FALSE
JCHAIN	-1.521182043	0.0329908840847228	down	FALSE	FALSE	FALSE
APOH	-1.51813248399999	0.0113526050986766	down	FALSE	FALSE	FALSE
SELENBP1	-1.515816631	0.038308409562637	down	FALSE	FALSE	FALSE
RPLP2	-1.51413155	0.0215531238406466	down	FALSE	FALSE	FALSE
CNN1	-1.50880476540105	0.0496131205655133	down	FALSE	FALSE	FALSE
ALDH1B1	-1.50622155534669	0.0307520451533686	down	FALSE	FALSE	FALSE
LIMS1	-1.50578789418255	0.0255908825694136	down	FALSE	FALSE	FALSE
SFRP1	-1.4973225635	0.0215531238406466	down	FALSE	FALSE	FALSE
ETFDH	-1.4972367713	0.0275246251322949	down	FALSE	FALSE	FALSE
ALDH3A2	-1.4867969710369	0.0332684427292948	down	FALSE	FALSE	FALSE
FETUB	-1.48095851180634	0.0225587139908877	down	FALSE	FALSE	FALSE
AKR1C2	-1.48025509587415	0.0226068413801227	down	FALSE	FALSE	FALSE
RTN4	-1.46757892	0.0423148538420216	down	FALSE	FALSE	FALSE
ANK2	-1.46461252206245	0.0332684427292948	down	FALSE	FALSE	FALSE
SLC44A2	-1.45598324539601	0.0150716943367372	down	FALSE	FALSE	FALSE
CYB5A	-1.453093964	0.00552571003090942	down	FALSE	FALSE	FALSE
PDHX	-1.44883120164248	0.0442302553966635	down	FALSE	FALSE	FALSE
NAP1L4	-1.44479949513965	0.0238012135033028	down	FALSE	FALSE	FALSE
SEC23B	-1.4418708748183	0.0435401567119762	down	FALSE	FALSE	FALSE
S100A10	-1.430650645	0.0346990675348316	down	FALSE	FALSE	FALSE
REEP5	-1.42934235869999	0.0372644371364773	down	FALSE	FALSE	FALSE
APOD	-1.403836377	0.010371232127871	down	FALSE	FALSE	FALSE
ATP1A1	-1.40354581189023	0.0495912391733226	down	FALSE	FALSE	FALSE
HSP90AB4P	-1.39769731993925	0.0494125488262054	down	FALSE	FALSE	FALSE
SERPINA6	-1.39669679700001	0.0152995424730298	down	FALSE	FALSE	FALSE
SIRT5	-1.39559402614664	0.0191749782925373	down	FALSE	FALSE	FALSE
CPT2	-1.37680967409565	0.0091415591382295	down	FALSE	FALSE	FALSE
PARVA	-1.37398105031587	0.0469500550102045	down	FALSE	FALSE	FALSE
F2	-1.370199965	0.0245522883572978	down	FALSE	FALSE	FALSE
OLFML3	-1.36852862218465	0.0189009186258317	down	FALSE	FALSE	FALSE
EIF4A2	-1.35638165563644	0.02283853064782	down	FALSE	FALSE	FALSE
C5	-1.3519218186	0.0457433706474837	down	FALSE	FALSE	FALSE
ANK1	-1.34809797403936	0.0171875634935643	down	FALSE	FALSE	FALSE
OCIAD1	-1.34161189389954	0.0198352602263048	down	FALSE	FALSE	FALSE
YWHAG	-1.338463688	0.0409908505711296	down	FALSE	FALSE	FALSE
HBD	-1.333188464	0.027859007493338	down	FALSE	FALSE	FALSE
PTGR2	-1.32734085369245	0.0409908505711296	down	FALSE	FALSE	FALSE
PGRMC2	-1.3012374974023	0.0326343588018104	down	FALSE	FALSE	FALSE
FGA	-1.300518835	0.0130932495767428	down	FALSE	FALSE	FALSE
SERPIND1	-1.298308146	0.0275246251322949	down	FALSE	FALSE	FALSE
EHD2	-1.294223437	0.0234113757157402	down	FALSE	FALSE	FALSE
MMAB	-1.29350804733001	0.0417429002256074	down	FALSE	FALSE	FALSE
SDHA	-1.272449555	0.044734534256624	down	FALSE	FALSE	FALSE
CYB5B	-1.269962181	0.0113469074473619	down	FALSE	FALSE	FALSE
IDH3G	-1.24352723189638	0.0394943632158222	down	FALSE	FALSE	FALSE
NFU1	-1.2346865786	0.0302663974699981	down	FALSE	FALSE	FALSE
SPRYD4	-1.2185295643763	0.0366012313024328	down	FALSE	FALSE	FALSE
HBA1	-1.217503197	0.0198352602263048	down	FALSE	FALSE	FALSE
CMA1	-1.20561594265836	0.0409908505711296	down	FALSE	FALSE	FALSE
APCS	-1.20297522799999	0.0130857460827415	down	FALSE	FALSE	FALSE
