drug_name_norm	primary_target	composite_score	TargetPriority	DrugViability	primary_target_centrality	primary_pi	rank_composite	rank_cent	rank_pi
GEFITINIB	EGFR	0.71681844849254	0.605422740918836	0.883912009853096	0.469137969591305	0.771993016985817	1	3	1
LAPATINIB	EGFR	0.697698456676672	0.605422740918836	0.836112030313426	0.469137969591305	0.771993016985817	2	3	1
AFATINIB	EGFR	0.694681965882046	0.605422740918836	0.82857080332686	0.469137969591305	0.771993016985817	3	3	1
ERLOTINIB	EGFR	0.688537922412291	0.605422740918836	0.813210694652474	0.469137969591305	0.771993016985817	4	3	1
NERATINIB	EGFR	0.638618638030224	0.605422740918836	0.688412483697306	0.469137969591305	0.771993016985817	5	3	1
VANDETANIB	EGFR	0.619529134428377	0.605422740918836	0.640688724692688	0.469137969591305	0.771993016985817	6	3	1
DACOMITINIB	EGFR	0.59595285669509	0.605422740918836	0.58174803035947	0.469137969591305	0.771993016985817	7	3	1
METFORMIN	NDUFS2	0.590995629306915	0.501956309030465	0.72455460972159	0.660189113952916	0.30856065856969	8	1	147
CETUXIMAB	EGFR	0.583253644551301	0.605422740918836	0.55	0.469137969591305	0.771993016985817	9	3	1
NIMOTUZUMAB	EGFR	0.583253644551301	0.605422740918836	0.55	0.469137969591305	0.771993016985817	9	3	1
PANITUMUMAB	EGFR	0.583253644551301	0.605422740918836	0.55	0.469137969591305	0.771993016985817	9	3	1
AMIVANTAMAB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
AUMOLERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
BRIGATINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
ICOTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
LAZERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
MOBOCERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
NECITUMUMAB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
OLMUTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
OSIMERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
ROCILETINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
CETUXIMAB SAROTALOCAN	EGFR	0.523253644551301	0.605422740918836	0.4	0.469137969591305	0.771993016985817	22	3	1
AZACITIDINE	DNMT1	0.493648868127402	0.359269657788277	0.69521768363609	0.0655986585742733	0.718200879049837	23	93	82
DECITABINE	DNMT1	0.481842290620567	0.359269657788277	0.665701239869001	0.0655986585742733	0.718200879049837	24	93	82
ABIVERTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
CANERTINIB DIHYDROCHLORIDE	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
DEPATUXIZUMAB MAFODOTIN	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
FIRMONERTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
FUTUXIMAB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
NAQUOTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
PYROTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
RINDOPEPIMUT	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
RUSERONTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
SIMOTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
TESEVATINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
ZALUTUMUMAB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
CARFILZOMIB	PSMA2	0.457581132374053	0.388752028372716	0.560824788376058	0.134716847100572	0.69923947214978	37	77	90
PENTOXIFYLLINE	PDE6D	0.454081310614431	0.316375887974484	0.66063944457435	1.3471508469357e-5	0.70304106365517	38	144	85
AEE-788	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
ALLITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
AV-412	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
AZD-3759	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
AZD-4769	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
BMS-690514	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
CLN-081	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
CUDC-101	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
DEPATUXIZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
DULIGOTUZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
EPITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
FALNIDAMOL	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
GC1118	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
IMGATUZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
JNJ-26483327	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
KBP5209	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MAB-425	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MATUZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MAVELERTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MDX-447	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MODOTUXIMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
NAZARTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
PELITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
PF-06459988	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
PIMURUTAMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
POZIOTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
S-222611	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
SAPITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TAK-285	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TARLOXOTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
THELIATINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TOMUZOTUXIMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TUXOBERTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
VARLITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
VALPROIC ACID	ALDH5A1	0.43839874468568	0.244198111074875	0.729699695101888	0.0359245517921893	0.49875468353149	73	96	141
DIPYRIDAMOLE	PDE6D	0.429716440357794	0.316375887974484	0.599727268932759	1.3471508469357e-5	0.70304106365517	74	144	85
ACETAZOLAMIDE	CA2	0.422365955204116	0.248962192224378	0.682471599673723	0.0231916374088751	0.524903981443326	75	124	130
TRANYLCYPROMINE	MAOA	0.421456962581597	0.257920184863496	0.666762129158748	0.0293504213321794	0.537283229179549	76	99	115
DOXYCYCLINE	MMP8	0.417592732598856	0.337890285774608	0.537146402835228	0.0123099558887175	0.735821800079586	77	138	80
THIOGUANINE	IMPDH2	0.409604558891808	0.274429300794359	0.612367446037982	0.0242542439196626	0.58019881475232	78	116	99
DIGOXIN	ATP1A1	0.39646308310547	0.266657343544316	0.5911716924472	0.0166608574760766	0.572208604294387	79	134	105
BORTEZOMIB D-MANNITOL	PSMA2	0.393251217023629	0.388752028372716	0.4	0.134716847100572	0.69923947214978	80	77	90
IXAZOMIB	PSMA2	0.393251217023629	0.388752028372716	0.4	0.134716847100572	0.69923947214978	80	77	90
TOPIRAMATE	CA2	0.384242661428961	0.248962192224378	0.587163365235836	0.0231916374088751	0.524903981443326	82	124	130
ME-344	NDUFS2	0.381173785418279	0.501956309030465	0.2	0.660189113952916	0.30856065856969	83	1	147
CEDAZURIDINE	CDA	0.380001580978658	0.333335968297763	0.45	2.01050000542219e-7	0.740746350489473	84	148	77
METHAZOLAMIDE	CA2	0.371400210973782	0.248962192224378	0.555057239097889	0.0231916374088751	0.524903981443326	85	124	130
DISULFIRAM	ALDH2	0.368253705700646	0.246281025168892	0.551212726498278	0.0759029210003182	0.454520930263815	86	91	143
MT-3724	RPS11	0.368161506439235	0.480269177398725	0.2	0.290529629278508	0.712173069545655	87	70	84
ANDECALIXIMAB	MMP9	0.358610798342676	0.431017997237793	0.25	0.168550145211838	0.751812038602849	88	72	68
MARIMASTAT	MMP9	0.358610798342676	0.431017997237793	0.25	0.168550145211838	0.751812038602849	88	72	68
MITAPIVAT	PKLR	0.351947719750791	0.353246199584652	0.35	0.0905792687736239	0.674283559464797	90	86	97
PARGYLINE	MAOA	0.347119174328377	0.257920184863496	0.480917658525698	0.0293504213321794	0.537283229179549	91	99	115
AZD-1236	MMP9	0.338610798342676	0.431017997237793	0.2	0.168550145211838	0.751812038602849	92	72	68
CTS-1027	MMP9	0.338610798342676	0.431017997237793	0.2	0.168550145211838	0.751812038602849	92	72	68
REBIMASTAT	MMP9	0.338610798342676	0.431017997237793	0.2	0.168550145211838	0.751812038602849	92	72	68
EMRICASAN	CASP3	0.335808931587029	0.426348219311714	0.2	0.220494223004062	0.677947548132177	95	71	96
MYCOPHENOLATE MOFETIL	IMPDH2	0.324657580476615	0.274429300794359	0.4	0.0242542439196626	0.58019881475232	96	116	99
ABITUZUMAB	ITGB6	0.324122044490161	0.406870074150269	0.2	0.129908003349124	0.745379271796112	97	82	73
SIGVOTATUG VEDOTIN	ITGB6	0.324122044490161	0.406870074150269	0.2	0.129908003349124	0.745379271796112	97	82	73
STX-100	ITGB6	0.324122044490161	0.406870074150269	0.2	0.129908003349124	0.745379271796112	97	82	73
PHENELZINE	MAOA	0.324019270792148	0.257920184863496	0.423167899685128	0.0293504213321794	0.537283229179549	100	99	115
BRINZOLAMIDE	CA2	0.321318767515403	0.248962192224378	0.429853630451941	0.0231916374088751	0.524903981443326	101	124	130
VERDIPERSTAT	MPO	0.318104362431652	0.363507270719421	0.25	0.0886265835563538	0.699472555029836	102	88	89
DORZOLAMIDE	CA2	0.317950481466319	0.248962192224378	0.421432915329229	0.0231916374088751	0.524903981443326	103	124	130
DIGITOXIN	ATP1A1	0.316861550955707	0.266657343544316	0.392167862072792	0.0166608574760766	0.572208604294387	104	134	105
MARIZOMIB	PSMA2	0.313251217023629	0.388752028372716	0.2	0.134716847100572	0.69923947214978	105	77	90
OPROZOMIB	PSMA2	0.313251217023629	0.388752028372716	0.2	0.134716847100572	0.69923947214978	105	77	90
FORODESINE	PNP	0.307892617747834	0.346487696246391	0.25	0.0278926608200441	0.735881628434148	107	114	78
ISOCARBOXAZID	MAOA	0.297875670911596	0.257920184863496	0.357808899983748	0.0293504213321794	0.537283229179549	108	99	115
PERHEXILINE	CPT2	0.297040938997638	0.261734898329397	0.35	0.0316710382659171	0.542924060629206	109	98	114
MINAPRINE	MAOA	0.294752110918097	0.257920184863496	0.35	0.0293504213321794	0.537283229179549	110	99	115
MOCLOBEMIDE	MAOA	0.294752110918097	0.257920184863496	0.35	0.0293504213321794	0.537283229179549	110	99	115
PROXIBARBAL	MAOA	0.294752110918097	0.257920184863496	0.35	0.0293504213321794	0.537283229179549	110	99	115
TOLOXATONE	MAOA	0.294752110918097	0.257920184863496	0.35	0.0293504213321794	0.537283229179549	110	99	115
IPTACOPAN	CFB	0.293421230939962	0.255702051566603	0.35	0.0125981443807609	0.552829049238187	114	137	113
ETAVOPIVAT	PKLR	0.291947719750791	0.353246199584652	0.2	0.0905792687736239	0.674283559464797	115	86	97
DICHLORPHENAMIDE	CA2	0.289377315334627	0.248962192224378	0.35	0.0231916374088751	0.524903981443326	116	124	130
POLMACOXIB	CA2	0.289377315334627	0.248962192224378	0.35	0.0231916374088751	0.524903981443326	116	124	130
BELORANIB	METAP2	0.289366241972926	0.31561040328821	0.25	7.989146240994e-4	0.700380000544345	118	140	87
PLITIDEPSIN	EEF1A2	0.288218972918384	0.180364954863973	0.45	2.41263736689112e-5	0.400781523018789	119	143	145
ULODESINE	PNP	0.287892617747835	0.346487696246391	0.2	0.0278926608200441	0.735881628434148	120	114	78
PETESICATIB	CTSS	0.287333592480404	0.34555598746734	0.2	0.0205465011513779	0.742789804075737	121	133	76
MIZORIBINE	IMPDH2	0.284657580476615	0.274429300794359	0.3	0.0242542439196626	0.58019881475232	122	116	99
MYCOPHENOLATE	IMPDH2	0.284657580476615	0.274429300794359	0.3	0.0242542439196626	0.58019881475232	122	116	99
VOLANESORSEN	APOC3	0.28101947559623	0.268365792660384	0.3	0.066286913762312	0.51535108909136	124	92	139
TOSEDOSTAT	LAP3	0.280325755597577	0.333876259329294	0.2	0.0424203707095906	0.690100123197821	125	95	95
LANATOSIDE C	ATP1A1	0.27999440612659	0.266657343544316	0.3	0.0166608574760766	0.572208604294387	126	134	105
APX-3330	APEX1	0.27751279599967	0.329187993332783	0.2	0.00792470895560534	0.721843118682668	127	139	81
IPRONIAZID	MAOA	0.274752110918097	0.257920184863496	0.3	0.0293504213321794	0.537283229179549	128	99	115
MEBANAZINE	MAOA	0.274752110918097	0.257920184863496	0.3	0.0293504213321794	0.537283229179549	128	99	115
NIALAMIDE	MAOA	0.274752110918097	0.257920184863496	0.3	0.0293504213321794	0.537283229179549	128	99	115
PHENOXYPROPAZINE	MAOA	0.274752110918097	0.257920184863496	0.3	0.0293504213321794	0.537283229179549	128	99	115
ETHOXZOLAMIDE	CA2	0.269377315334627	0.248962192224378	0.3	0.0231916374088751	0.524903981443326	132	124	130
SULTHIAME	CA2	0.269377315334627	0.248962192224378	0.3	0.0231916374088751	0.524903981443326	132	124	130
ACLIMOSTAT	METAP2	0.269366241972926	0.31561040328821	0.2	7.989146240994e-4	0.700380000544345	134	140	87
DROTRECOGIN ALFA (ACTIVATED)	F5	0.256264198508831	0.193773664181384	0.35	3.05116524814001e-5	0.430570850605599	135	142	144
ISTAROXIME	ATP2A2	0.25259599122153	0.287659985369217	0.2	0.0862904688532344	0.533778283333197	136	89	128
MIPSAGARGIN	ATP2A2	0.25259599122153	0.287659985369217	0.2	0.0862904688532344	0.533778283333197	136	89	128
CUSTIRSEN	CLU	0.250161602280465	0.283602670467441	0.2	0.10477481764193	0.502170046143065	138	85	140
AVN-944	IMPDH2	0.244657580476615	0.274429300794359	0.2	0.0242542439196626	0.58019881475232	139	116	99
ATINUMAB	RTN4	0.242386129796699	0.270643549661165	0.2	0.0284409886419428	0.566668902017992	140	112	108
OZANEZUMAB	RTN4	0.242386129796699	0.270643549661165	0.2	0.0284409886419428	0.566668902017992	140	112	108
DEZAMIZUMAB	APCS	0.2387758540065	0.264626423344166	0.2	0.0236296365541694	0.559178051643051	142	121	110
MIRIDESAP	APCS	0.2387758540065	0.264626423344166	0.2	0.0236296365541694	0.559178051643051	142	121	110
FULACIMSTAT	CMA1	0.23578045618673	0.25963409364455	0.2	1.35581808124496e-6	0.576962995432456	144	147	104
INDANTADOL	MAOA	0.234752110918097	0.257920184863496	0.2	0.0293504213321794	0.537283229179549	145	99	115
DAVANAT	LGALS1	0.230516688011353	0.250861146685588	0.2	1.27344230612782e-5	0.557453650562009	146	146	112
GSK-2586881	AGT	0.218625836173034	0.23104306028839	0.2	0.0330431683605032	0.473042928200251	147	97	142
VEPALIMOMAB	AOC3	0.175258617478632	0.158764362464386	0.2	0.0234595598767535	0.324136898960382	148	123	146
