drug_name_norm	primary_target	drug_class	composite_score	composite_alt	rank_orig	rank_alt
CETUXIMAB	EGFR	A	0.583253644551301	0.7299203112179682	9	1
NIMOTUZUMAB	EGFR	A	0.583253644551301	0.7299203112179682	9	1
PANITUMUMAB	EGFR	A	0.583253644551301	0.7299203112179682	9	1
AMIVANTAMAB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
AUMOLERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
BRIGATINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
ICOTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
LAZERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
MOBOCERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
NECITUMUMAB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
OLMUTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
OSIMERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
ROCILETINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
CETUXIMAB SAROTALOCAN	EGFR	B	0.523253644551301	0.6299203112179682	22	19
ABIVERTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
CANERTINIB DIHYDROCHLORIDE	EGFR	D	0.463253644551301	0.5299203112179682	25	23
DEPATUXIZUMAB MAFODOTIN	EGFR	D	0.463253644551301	0.5299203112179682	25	23
FIRMONERTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
FUTUXIMAB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
NAQUOTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
PYROTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
RINDOPEPIMUT	EGFR	D	0.463253644551301	0.5299203112179682	25	23
RUSERONTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
SIMOTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
TESEVATINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
ZALUTUMUMAB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
CEDAZURIDINE	CDA	B	0.380001580978658	0.5000015809786579	84	35
BORTEZOMIB D-MANNITOL	PSMA2	B	0.393251217023629	0.4999178836902962	80	36
IXAZOMIB	PSMA2	B	0.393251217023629	0.4999178836902962	80	36
AEE-788	EGFR	D	0.443253644551301	0.4965869778846349	39	38
ALLITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
AV-412	EGFR	D	0.443253644551301	0.4965869778846349	39	38
AZD-3759	EGFR	D	0.443253644551301	0.4965869778846349	39	38
AZD-4769	EGFR	D	0.443253644551301	0.4965869778846349	39	38
BMS-690514	EGFR	D	0.443253644551301	0.4965869778846349	39	38
CLN-081	EGFR	D	0.443253644551301	0.4965869778846349	39	38
CUDC-101	EGFR	D	0.443253644551301	0.4965869778846349	39	38
DEPATUXIZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
DULIGOTUZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
EPITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
FALNIDAMOL	EGFR	D	0.443253644551301	0.4965869778846349	39	38
GC1118	EGFR	D	0.443253644551301	0.4965869778846349	39	38
IMGATUZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
JNJ-26483327	EGFR	D	0.443253644551301	0.4965869778846349	39	38
KBP5209	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MAB-425	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MATUZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MAVELERTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MDX-447	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MODOTUXIMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
NAZARTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
PELITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
PF-06459988	EGFR	D	0.443253644551301	0.4965869778846349	39	38
PIMURUTAMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
POZIOTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
S-222611	EGFR	D	0.443253644551301	0.4965869778846349	39	38
SAPITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TAK-285	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TARLOXOTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
THELIATINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TOMUZOTUXIMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TUXOBERTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
VARLITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MITAPIVAT	PKLR	C	0.351947719750791	0.44528105308412447	90	76
ME-344	NDUFS2	D	0.381173785418279	0.4345071187516123	83	78
MYCOPHENOLATE MOFETIL	IMPDH2	B	0.324657580476615	0.4313242471432821	96	79
ANDECALIXIMAB	MMP9	D	0.358610798342676	0.4252774650093425	88	81
MARIMASTAT	MMP9	D	0.358610798342676	0.4252774650093425	88	81
MT-3724	RPS11	D	0.368161506439235	0.4214948397725683	87	84
PLITIDEPSIN	EEF1A2	B	0.288218972918384	0.4082189729183838	119	88
AZD-1236	MMP9	D	0.338610798342676	0.39194413167600917	92	90
CTS-1027	MMP9	D	0.338610798342676	0.39194413167600917	92	90
REBIMASTAT	MMP9	D	0.338610798342676	0.39194413167600917	92	90
PERHEXILINE	CPT2	C	0.297040938997638	0.3903742723309715	109	93
EMRICASAN	CASP3	D	0.335808931587029	0.38914226492036175	95	94
MINAPRINE	MAOA	C	0.294752110918097	0.3880854442514309	110	95
MOCLOBEMIDE	MAOA	C	0.294752110918097	0.3880854442514309	110	95
PROXIBARBAL	MAOA	C	0.294752110918097	0.3880854442514309	110	95
TOLOXATONE	MAOA	C	0.294752110918097	0.3880854442514309	110	95
IPTACOPAN	CFB	C	0.293421230939962	0.3867545642732951	114	99
VERDIPERSTAT	MPO	D	0.318104362431652	0.3847710290983193	102	100
DICHLORPHENAMIDE	CA2	C	0.289377315334627	0.3827106486679601	116	102
POLMACOXIB	CA2	C	0.289377315334627	0.3827106486679601	116	102
ABITUZUMAB	ITGB6	D	0.324122044490161	0.3774553778234947	97	104
SIGVOTATUG VEDOTIN	ITGB6	D	0.324122044490161	0.3774553778234947	97	104
STX-100	ITGB6	D	0.324122044490161	0.3774553778234947	97	104
FORODESINE	PNP	D	0.307892617747834	0.37455928441450126	107	107
MARIZOMIB	PSMA2	D	0.313251217023629	0.3665845503569629	105	110
OPROZOMIB	PSMA2	D	0.313251217023629	0.3665845503569629	105	110
MIZORIBINE	IMPDH2	C	0.284657580476615	0.36465758047661545	122	112
MYCOPHENOLATE	IMPDH2	C	0.284657580476615	0.36465758047661545	122	112
VOLANESORSEN	APOC3	C	0.28101947559623	0.3610194755962304	124	114
LANATOSIDE C	ATP1A1	C	0.27999440612659	0.3599944061265896	127	115
BELORANIB	METAP2	D	0.289366241972926	0.35603290863959264	118	116
IPRONIAZID	MAOA	C	0.274752110918097	0.3547521109180976	130	117
MEBANAZINE	MAOA	C	0.274752110918097	0.3547521109180976	130	117
NIALAMIDE	MAOA	C	0.274752110918097	0.3547521109180976	130	117
PHENOXYPROPAZINE	MAOA	C	0.274752110918097	0.3547521109180976	130	117
DROTRECOGIN ALFA (ACTIVATED)	F5	C	0.256264198508831	0.3495975318421637	137	121
ETHOXZOLAMIDE	CA2	C	0.269377315334627	0.3493773153346268	134	122
SULTHIAME	CA2	C	0.269377315334627	0.3493773153346268	134	122
ETAVOPIVAT	PKLR	D	0.291947719750791	0.3452810530841245	115	125
ULODESINE	PNP	D	0.287892617747835	0.34122595108116793	120	126
PETESICATIB	CTSS	D	0.287333592480404	0.34066692581373736	121	127
TOSEDOSTAT	LAP3	D	0.280325755597577	0.33365908893090973	125	128
APX-3330	APEX1	D	0.27751279599967	0.3308461293330031	129	129
ACLIMOSTAT	METAP2	D	0.269366241972926	0.3226995753062593	136	131
ISTAROXIME	ATP2A2	D	0.25259599122153	0.30592932455486355	138	135
MIPSAGARGIN	ATP2A2	D	0.25259599122153	0.30592932455486355	138	135
CUSTIRSEN	CLU	D	0.250161602280465	0.3034949356137979	140	137
ENFORTUMAB VEDOTIN	NA	B	0.18	0.30000000000000004	212	138
NIVOLUMAB	NA	A	0.18	0.3	212	139
PEMBROLIZUMAB	NA	A	0.18	0.3	212	139
AVN-944	IMPDH2	D	0.244657580476615	0.29799091380994874	142	141
ATINUMAB	RTN4	D	0.242386129796699	0.29571946313003233	143	143
OZANEZUMAB	RTN4	D	0.242386129796699	0.29571946313003233	143	143
DEZAMIZUMAB	APCS	D	0.2387758540065	0.29210918733983293	145	145
MIRIDESAP	APCS	D	0.2387758540065	0.29210918733983293	145	145
FULACIMSTAT	CMA1	D	0.23578045618673	0.2891137895200633	147	147
INDANTADOL	MAOA	D	0.234752110918097	0.2880854442514309	148	148
DAVANAT	LGALS1	D	0.230516688011353	0.2838500213446861	149	149
GSK-2586881	AGT	D	0.218625836173034	0.27195916950636734	154	152
ALECTINIB	NA	B	0.16	0.26666666666666666	273	153
CERITINIB	NA	B	0.16	0.26666666666666666	273	153
EFAPROXIRAL	NA	B	0.16	0.26666666666666666	273	153
GLEMBATUMUMAB VEDOTIN	NA	B	0.16	0.26666666666666666	273	153
LORLATINIB	NA	B	0.16	0.26666666666666666	273	153
PELABRESIB	NA	B	0.16	0.26666666666666666	273	153
BETIBEGLOGENE AUTOTEMCEL	NA	C	0.14	0.2333333333333333	335	160
DEFIBROTIDE	NA	C	0.14	0.2333333333333333	335	160
VEPALIMOMAB	AOC3	D	0.175258617478632	0.22859195081196493	228	162
LOVOTIBEGLOGENE AUTOTEMCEL	NA	C	0.12	0.2	379	180
PABINAFUSP ALFA	NA	C	0.12	0.2	379	180
VOXELOTOR	NA	C	0.12	0.2	379	180
81C6 131I	NA	D	0.08	0.13333333333333333	382	354
A27.15	NA	D	0.08	0.13333333333333333	382	354
ALEPLASININ	NA	D	0.08	0.13333333333333333	382	354
APABETALONE	NA	D	0.08	0.13333333333333333	382	354
BIRABRESIB	NA	D	0.08	0.13333333333333333	382	354
E2.3	NA	D	0.08	0.13333333333333333	382	354
EZOBRESIB	NA	D	0.08	0.13333333333333333	382	354
F16IL2	NA	D	0.08	0.13333333333333333	382	354
F16SIP 131I	NA	D	0.08	0.13333333333333333	382	354
GLEMBATUMUMAB	NA	D	0.08	0.13333333333333333	382	354
MOLIBRESIB	NA	D	0.08	0.13333333333333333	382	354
PACTIMIBE	NA	D	0.08	0.13333333333333333	382	354
PLB1003	NA	D	0.08	0.13333333333333333	382	354
RO-6870810	NA	D	0.08	0.13333333333333333	382	354
TENATUMOMAB	NA	D	0.08	0.13333333333333333	382	354
